experiment, filename , dur , f0mnhz , f0mdhz , f0sdhz , f0mihz , f0mahz , f0rghz , f0mnvst , f0mdvst , f0sdvst , f0mivst , f0mavst , f0rgvst, inmn , inmd , inrange , jitloc , jitrap , jitppq5 , periodsd , shimloc , shimapq11 , shimapq3 , h1mh2mn , slopen0114 , slopen5228 , mnHNR , mnNHR, jitlocvr , jitrapvr , shimlocvr , shimapq3vr 
F0,eq_08Perc_HiF0_1_10_con,1.923,98.3,93,13.6,82.4,126.1,43.7,79.27,78.47,2.34,-3.35,4.01,7.36,70,67.6,25.9,0.01559,0.00428,0.00808,0.0025,0.10263,0.08678,0.03331,-1.66,-19.6,-25.7,14.3,0.11,0.01559,0.00428,0.10263,0.03331
F0,eq_08Perc_HiF0_1_1_con,1.797,100.7,98.2,14.6,75.8,124.3,48.5,79.67,79.42,2.5,-4.75,3.76,8.51,70,69.7,21.1,0.01789,0.00388,0.00715,0.0014,0.12728,0.0971,0.0563,0.16,-19,-21.1,14.1,0.081,0.01789,0.00388,0.12728,0.0563
F0,eq_08Perc_HiF0_1_2_con,1.829,102.1,102.4,16.1,80.9,128.8,47.9,79.86,80.14,2.76,-3.66,4.38,8.04,70,68.8,23,0.01382,0.00432,0.0083,0.0028,0.09515,0.1347,0.04512,-2.88,-18.2,-17,13.5,0.1335,0.01394,0.00435,0.09515,0.04512
F0,eq_08Perc_HiF0_1_4_con,1.636,104.9,106,9.2,88.2,120.7,32.5,80.5,80.73,1.52,-2.17,3.25,5.42,70,69.7,27.7,0.01539,0.00413,0.00877,0.0009,0.13165,0.1306,0.04885,-2.88,-17.2,-15.6,14.9,0.0777,0.01539,0.00413,0.13165,0.04885
F0,eq_08Perc_HiF0_1_5_con,2.786,99.5,99.7,11.5,81.6,130.9,49.3,79.52,79.68,1.96,-3.49,4.66,8.15,70,69.1,20.1,0.01621,0.00579,0.00969,0.0011,0.10901,0.09031,0.04569,-3.02,-16,-15.4,13.4,0.126,0.01621,0.00579,0.10901,0.04569
F0,eq_08Perc_HiF0_1_6_con,2.007,101.1,99.7,14.1,81,122.7,41.7,79.74,79.67,2.45,-3.64,3.53,7.17,70,67.3,25.2,0.0183,0.00585,0.01098,0.0013,0.12298,0.12546,0.05341,-2.08,-20.1,-25.2,13.7,0.1414,0.0183,0.00585,0.12298,0.05341
F0,eq_08Perc_HiF0_1_7_con,1.856,99.1,94.7,13.3,82.8,130.7,47.9,79.42,78.78,2.26,-3.27,4.64,7.91,70,68.2,25.3,0.01573,0.00523,0.01057,0.0013,0.1076,0.09814,0.04057,-3.16,-13.9,-21.1,14.6,0.1261,0.01573,0.00523,0.1076,0.04057
F0,eq_08Perc_HiF0_1_9_con,1.965,103,97.1,19.7,81.1,148.8,67.7,79.94,79.22,3.13,-3.63,6.88,10.51,70,69.5,14.9,0.01556,0.00411,0.0079,0.0017,0.15557,0.15016,0.07006,1.13,-17.2,-21.3,13.9,0.1194,0.01556,0.00411,0.15557,0.07006
F0,eq_08Perc_HiF0_2_10_con,2.119,207.8,199.9,25.9,167.2,255.6,88.4,92.26,91.72,2.14,8.9,16.25,7.35,70,68.3,18.2,0.00585,0.00119,0.00234,0.0006,0.09879,0.0779,0.04277,3.69,-14.3,-14.9,13.8,0.1152,0.00585,0.00119,0.09879,0.04277
F0,eq_08Perc_HiF0_2_1_con,2.24,239.5,247.3,36.7,169.1,291.1,122,94.63,95.4,2.75,9.1,18.5,9.39,70,69.3,21.8,0.00743,0.00148,0.0028,0.0007,0.10381,0.09088,0.04597,5.24,-16.6,-18.7,15.2,0.0834,0.00743,0.00148,0.10381,0.04597
F0,eq_08Perc_HiF0_2_2_con,1.86,213.1,213.7,33,171.2,271.4,100.2,92.62,92.88,2.66,9.3,17.28,7.98,70,67.5,25,0.00727,0.0019,0.00364,0.0008,0.11333,0.08288,0.04566,2.35,-18.1,-15.1,13.6,0.1509,0.00727,0.0019,0.11333,0.04566
F0,eq_08Perc_HiF0_2_4_con,2.091,214.5,216.5,21.6,180.8,258.4,77.6,92.85,93.1,1.75,10.26,16.44,6.17,70,67.4,26.8,0.00609,0.00136,0.0025,0.0005,0.09918,0.07779,0.03356,3.69,-15.3,-13.1,15.1,0.0893,0.00609,0.00136,0.09918,0.03356
F0,eq_08Perc_HiF0_2_5_con,2.54,207.4,200.8,20.2,179.4,259.6,80.2,92.28,91.8,1.65,10.12,16.51,6.4,70,69,16.6,0.00786,0.00171,0.00316,0.0008,0.10881,0.09851,0.0483,3.31,-14.1,-15.1,13.5,0.1306,0.00786,0.00171,0.10881,0.0483
F0,eq_08Perc_HiF0_2_6_con,2.419,217,207.7,32.5,176.8,287.1,110.3,92.96,92.38,2.49,9.87,18.26,8.39,70,68.7,16.5,0.00817,0.00199,0.00374,0.0009,0.11356,0.11437,0.04415,5.59,-15.9,-15.4,14.8,0.133,0.00817,0.00199,0.11356,0.04415
F0,eq_08Perc_HiF0_2_7_con,2.135,201.7,194.7,24.2,169.3,252.1,82.8,91.76,91.27,2.01,9.12,16.01,6.89,70,68.1,17.1,0.00834,0.00204,0.00441,0.0006,0.1261,0.08281,0.05037,2.41,-17.1,-15.1,13.7,0.1459,0.00834,0.00204,0.1261,0.05037
F0,eq_08Perc_HiF0_2_9_con,1.918,199,197.7,56.1,83.4,313,229.6,90.9,91.53,5.26,-3.14,19.75,22.89,70,68.9,19.2,0.01649,0.00407,0.00755,0.0019,0.11879,0.10957,0.04418,1.96,-17.1,-22,13,0.1563,0.01649,0.00407,0.11892,0.04435
F0,eq_08Perc_HiF0_3_10_con,1.617,105.8,105.1,14.5,81.9,133.6,51.7,80.55,80.59,2.35,-3.46,5.01,8.47,70,66.4,21.8,0.01907,0.00523,0.01058,0.0012,0.12631,0.15521,0.04914,0.89,-13.7,-22.2,13.1,0.1219,0.01907,0.00523,0.12631,0.04914
F0,eq_08Perc_HiF0_3_1_con,1.544,111.4,113.7,15,85.9,134.5,48.6,81.43,81.94,2.38,-2.63,5.13,7.76,70,68.3,31.7,0.01946,0.00387,0.00865,0.0012,0.09687,0.12884,0.034,2.71,-16.3,-18.4,13,0.1354,0.01946,0.00387,0.09687,0.034
F0,eq_08Perc_HiF0_3_2_con,1.772,103.3,101,15,81.6,140.7,59.1,80.12,79.89,2.38,-3.52,5.91,9.43,70,67.4,26.1,0.01835,0.00458,0.00869,0.0014,0.1097,0.09787,0.03841,-1.1,-15.6,-14.1,14.5,0.0895,0.01835,0.00458,0.1097,0.03841
F0,eq_08Perc_HiF0_3_4_con,1.734,113.1,113.3,12.7,84.7,141.9,57.1,81.75,81.89,1.94,-2.87,6,8.87,70,68,29.7,0.01476,0.00328,0.007,0.001,0.14578,0.07604,0.05606,4.34,-12.4,-15.5,13.5,0.096,0.01476,0.00328,0.14578,0.05606
F0,eq_08Perc_HiF0_3_5_con,2.287,101.1,101.1,10,81.2,125.4,44.2,79.83,79.91,1.73,-3.57,3.92,7.49,70,67.8,22.1,0.01869,0.00488,0.00938,0.001,0.12621,0.1996,0.04156,0.76,-14.4,-14.4,12.9,0.1116,0.01869,0.00488,0.12621,0.04156
F0,eq_08Perc_HiF0_3_6_con,1.949,113.1,112.8,14,81.7,133.4,51.7,81.72,81.82,2.21,-3.51,4.97,8.48,70,67.3,24.6,0.01606,0.00385,0.00807,0.0011,0.10478,0.10018,0.03413,3.53,-15,-19.9,14,0.0926,0.01606,0.00385,0.10478,0.03413
F0,eq_08Perc_HiF0_3_7_con,1.799,109.2,101.3,21.7,83.3,149.4,66.1,80.93,79.96,3.3,-3.17,6.95,10.12,70,66,22.2,0.01429,0.00308,0.00665,0.0017,0.10247,0.12985,0.03975,2.95,-14.5,-17.6,13.6,0.1162,0.01429,0.00308,0.10247,0.03975
F0,eq_08Perc_HiF0_3_9_con,1.834,110.7,106.9,19.1,81.4,161.4,80,81.26,80.88,2.78,-3.57,8.29,11.86,70,67.8,26.9,0.01959,0.00439,0.00806,0.0015,0.11193,0.08966,0.0385,1.21,-17.8,-19.8,12.9,0.1222,0.01959,0.00439,0.11193,0.0385
F0,eq_08Perc_HiF0_4_10_con,2.848,204.3,204.5,26.1,143.2,249.4,106.2,91.95,92.12,2.25,6.21,15.82,9.6,70,66.9,26.9,0.00832,0.00181,0.00342,0.0006,0.06158,0.05283,0.02153,1.93,-14.1,-15.9,18.4,0.0695,0.00832,0.00181,0.06158,0.02153
F0,eq_08Perc_HiF0_4_1_con,2.242,212,218.5,34.1,149.8,271.6,121.7,92.5,93.26,2.89,7,17.29,10.3,70,67.4,32.4,0.00962,0.00175,0.00382,0.0008,0.07926,0.08071,0.02396,6.4,-16.6,-20.8,17.6,0.0695,0.00962,0.00175,0.07926,0.02396
F0,eq_08Perc_HiF0_4_2_con,2.343,203.3,191.7,31.6,152.5,255.9,103.4,91.81,90.99,2.67,7.31,16.26,8.95,70,67.5,30.6,0.01024,0.00254,0.00492,0.0008,0.07729,0.05776,0.02256,5.89,-16.1,-19.4,17.8,0.0875,0.01024,0.00254,0.07729,0.02256
F0,eq_08Perc_HiF0_4_4_con,2.66,207.1,205.9,35.9,143.5,309.7,166.2,92.08,92.23,2.9,6.25,19.57,13.32,70,67.6,42.9,0.00909,0.00195,0.00382,0.0008,0.07964,0.07386,0.02561,3.53,-14,-15.1,17.3,0.0714,0.00909,0.00195,0.07964,0.02561
F0,eq_08Perc_HiF0_4_5_con,3.071,192.5,189.4,25.1,144.5,289.6,145.2,90.93,90.78,2.18,6.37,18.41,12.04,70,68.1,23.2,0.01211,0.00255,0.0051,0.0007,0.08019,0.07553,0.02805,7.4,-14.6,-15,16,0.1012,0.01211,0.00255,0.08019,0.02805
F0,eq_08Perc_HiF0_4_6_con,2.928,189.3,181.8,31.5,135.5,261.4,125.9,90.55,90.07,2.78,5.26,16.63,11.38,70,67.2,22.7,0.00914,0.00209,0.00429,0.0008,0.06857,0.07067,0.02378,4.81,-13.8,-17.4,17,0.0965,0.00914,0.00209,0.06857,0.02378
F0,eq_08Perc_HiF0_4_7_con,2.589,197,184.3,37.9,147.9,285.7,137.9,91.17,90.31,3.18,6.77,18.18,11.41,70,67.2,30.3,0.00877,0.00199,0.00401,0.0011,0.08179,0.0794,0.027,4.65,-15.4,-20.5,16.4,0.096,0.00877,0.00199,0.08179,0.027
F0,eq_08Perc_HiF0_4_9_con,2.532,210.1,205.2,48.5,140.2,319.9,179.7,92.16,92.17,3.76,5.85,20.11,14.26,70,68.5,25,0.00802,0.00136,0.00281,0.001,0.06721,0.05793,0.02484,1.11,-14.8,-17.6,17.5,0.0655,0.00802,0.00136,0.06721,0.02484
F0,eq_08Perc_HiF0_5_10_con,2.091,222.8,220.8,21.2,181,267.6,86.5,93.52,93.44,1.65,10.29,17.04,6.75,70,69.6,21.4,0.0062,0.00164,0.003,0.0004,0.08074,0.06016,0.02867,2.54,-15.5,-17.4,17.9,0.0789,0.0062,0.00164,0.08074,0.02867
F0,eq_08Perc_HiF0_5_1_con,1.909,231.6,229.8,29.1,184.1,289.2,105.1,94.14,94.13,2.14,10.57,18.39,7.82,70,69.3,30.4,0.00643,0.00096,0.00201,0.0005,0.08925,0.07747,0.03419,5.89,-15.2,-21.2,17.7,0.0741,0.00643,0.00096,0.08925,0.03419
F0,eq_08Perc_HiF0_5_2_con,1.994,249,243.2,34.9,202.8,311.7,108.9,95.35,95.11,2.4,12.26,19.68,7.43,70,69.7,30.8,0.00643,0.00173,0.00344,0.0005,0.09722,0.08262,0.03028,2.29,-14.3,-15.5,18.7,0.0659,0.00643,0.00173,0.09722,0.03028
F0,eq_08Perc_HiF0_5_4_con,2.111,235.8,242.2,26.2,185,281.8,96.8,94.47,95.04,1.95,10.65,17.93,7.28,70,69.6,33.3,0.00582,0.001,0.0019,0.0005,0.09763,0.07918,0.03681,1.27,-14.4,-16.8,17.9,0.0515,0.00582,0.001,0.09763,0.03681
F0,eq_08Perc_HiF0_5_5_con,2.36,238.2,227.8,37.3,187.2,312.7,125.5,94.54,93.98,2.65,10.86,19.73,8.87,70,69.1,21.8,0.00668,0.00144,0.00269,0.0006,0.08603,0.08356,0.02594,1.8,-12.4,-13.8,17,0.0739,0.00668,0.00144,0.08603,0.02594
F0,eq_08Perc_HiF0_5_6_con,2.081,238.2,231.9,29.8,184,287.3,103.2,94.62,94.29,2.17,10.57,18.27,7.7,70,67.8,21.2,0.00604,0.00162,0.00286,0.0005,0.07312,0.07519,0.0252,5.29,-14.3,-19.7,19.2,0.0506,0.00604,0.00162,0.07312,0.0252
F0,eq_08Perc_HiF0_5_7_con,2.226,252.6,241.8,43.8,182.8,354.3,171.5,95.52,95.01,2.94,10.45,21.9,11.45,70,69.4,24.9,0.00571,0.00084,0.00175,0.0007,0.09822,0.08895,0.02842,4.38,-12.3,-16.4,17.9,0.0513,0.00571,0.00084,0.09822,0.02842
F0,eq_08Perc_HiF0_5_9_con,1.991,253.8,236.4,54.9,187.9,370.8,182.9,95.47,94.62,3.52,10.93,22.69,11.76,70,68.3,22.4,0.00529,0.0009,0.00181,0.0008,0.07931,0.08936,0.0279,2.06,-11.5,-20.7,18,0.0566,0.00529,0.0009,0.07931,0.0279
F0,eq_08Perc_HiF0_6_10_con,1.984,208.1,207.4,17.8,162.1,246.4,84.2,92.35,92.36,1.51,8.37,15.61,7.24,70,67.9,19.8,0.00573,0.00099,0.00204,0.0004,0.0705,0.076,0.02162,3.38,-14.6,-26.5,20.4,0.0322,0.00573,0.00099,0.0705,0.02162
F0,eq_08Perc_HiF0_6_1_con,2.068,210.1,202.7,28.1,165.5,288.9,123.3,92.43,91.96,2.26,8.74,18.36,9.63,70,68,26.2,0.00895,0.00195,0.00362,0.0006,0.07997,0.08766,0.02491,3.45,-15.7,-22.2,18.2,0.0689,0.00895,0.00195,0.07997,0.02491
F0,eq_08Perc_HiF0_6_2_con,2.056,204,198.2,20.8,171.9,241.7,69.8,91.98,91.57,1.73,9.38,15.28,5.9,70,68.6,30.8,0.00644,0.0017,0.00351,0.0005,0.0696,0.07529,0.01917,2.82,-20.3,-20,19.8,0.047,0.00644,0.0017,0.0696,0.01917
F0,eq_08Perc_HiF0_6_4_con,2.808,204.6,210.6,22.7,156.9,254.7,97.8,92.01,92.62,1.95,7.8,16.19,8.38,70,68.2,32.3,0.00728,0.00131,0.00288,0.0006,0.06354,0.04759,0.02082,-0.06,-18.8,-20.8,20.4,0.0417,0.00728,0.00131,0.06354,0.02082
F0,eq_08Perc_HiF0_6_5_con,2.668,213.3,210,32.1,146.5,293.6,147.1,92.65,92.57,2.56,6.61,18.64,12.04,70,68.6,19.7,0.00933,0.00152,0.00314,0.0007,0.0668,0.063,0.02298,3.34,-16.5,-22,18.1,0.0469,0.00933,0.00152,0.0668,0.02298
F0,eq_08Perc_HiF0_6_6_con,2.11,210.6,207.9,23.6,171.5,259.2,87.8,92.51,92.4,1.94,9.34,16.49,7.15,70,68.9,20.2,0.00649,0.00148,0.00295,0.0005,0.06716,0.07813,0.02324,1.91,-14.5,-24,20,0.0443,0.00649,0.00148,0.06716,0.02324
F0,eq_08Perc_HiF0_6_7_con,2.377,199.8,193.2,22.7,162.3,273.1,110.8,91.6,91.13,1.92,8.39,17.27,8.89,70,68.7,24,0.00738,0.00156,0.00311,0.0006,0.07424,0.05256,0.02678,5.25,-18.4,-21.4,18.4,0.0502,0.00738,0.00156,0.07424,0.02678
F0,eq_08Perc_HiF0_6_9_con,2.296,204,201.4,28.7,164,277.7,113.7,91.91,91.85,2.34,8.58,17.69,9.11,70,69.7,19.1,0.00598,0.00121,0.00252,0.0007,0.06331,0.06152,0.02253,3.5,-15.8,-22.6,19.5,0.0413,0.00598,0.00121,0.06331,0.02253
F0,eq_08Perc_HiF0_7_10_con,1.92,118.5,119.1,10.9,97.6,138.6,41,82.59,82.75,1.61,-0.42,5.65,6.07,70,67.8,20.9,0.01227,0.00327,0.00706,0.0008,0.1214,0.0861,0.04973,-1.51,-19.2,-22.9,15.1,0.0714,0.01227,0.00327,0.1214,0.04973
F0,eq_08Perc_HiF0_7_1_con,1.793,121.6,119.4,11.8,100.6,142.6,42,83.03,82.79,1.67,0.15,6.14,5.99,70,67.3,28.9,0.01176,0.00287,0.00627,0.0008,0.1088,0.15527,0.03985,0.17,-18.7,-18.7,13.7,0.0764,0.01176,0.00287,0.1088,0.03985
F0,eq_08Perc_HiF0_7_2_con,1.914,123.8,124.9,11.4,103.9,142.6,38.7,83.35,83.58,1.61,0.68,6.14,5.46,70,68.9,30.6,0.01044,0.00286,0.0058,0.0007,0.11317,0.07752,0.04808,-0.94,-19.3,-15.7,15,0.069,0.01044,0.00286,0.11317,0.04808
F0,eq_08Perc_HiF0_7_4_con,2.065,125.7,127.5,6.8,103.1,137.6,34.5,83.67,83.93,0.96,0.53,5.53,4.99,70,67.9,36.6,0.00968,0.00333,0.00662,0.0004,0.10018,0.07732,0.04009,0.29,-22.5,-19.8,15.9,0.0869,0.00968,0.00333,0.10018,0.04009
F0,eq_08Perc_HiF0_7_5_con,2.621,115.3,114.2,8.1,99.4,135.3,36,82.14,82.03,1.21,-0.07,5.22,5.29,70,68.5,19.8,0.01303,0.00368,0.00767,0.0014,0.1098,0.07817,0.03936,2.74,-18,-18.1,14.1,0.1152,0.01303,0.00368,0.1098,0.03936
F0,eq_08Perc_HiF0_7_6_con,2.025,120,118.4,8.6,101.7,138.9,37.2,82.84,82.65,1.23,0.3,5.69,5.39,70,67.7,17.9,0.0142,0.00405,0.00807,0.0006,0.11806,0.23532,0.03793,0.7,-17,-22.3,13.8,0.1032,0.0142,0.00405,0.11806,0.03793
F0,eq_08Perc_HiF0_7_7_con,1.921,127.3,126.2,12.1,108.5,158.7,50.2,83.83,83.76,1.61,1.42,7.99,6.57,70,68,23.8,0.01181,0.00331,0.00667,0.0007,0.15416,0.05962,0.06983,0.46,-20.4,-18.9,13.1,0.1269,0.01181,0.00331,0.15416,0.06983
F0,eq_08Perc_HiF0_7_9_con,1.92,121.8,118.1,14.5,98.2,158.5,60.3,83.02,82.6,1.99,-0.29,7.97,8.26,70,68.4,21.6,0.01431,0.00449,0.00849,0.0009,0.08776,0.07966,0.03281,2.98,-17.6,-21.3,14.5,0.1042,0.01431,0.00449,0.08776,0.03281
F0,eq_08Perc_HiF0_8_10_con,1.452,130.1,130.8,9,106.6,147.8,41.3,84.24,84.38,1.22,1.1,6.76,5.65,70,67.9,21.3,0.01279,0.00326,0.00711,0.0005,0.12538,0.09973,0.03638,-1.47,-16.3,-21.6,14,0.1025,0.01279,0.00326,0.12538,0.03638
F0,eq_08Perc_HiF0_8_1_con,1.531,123.5,124.5,7,109.1,141.1,32,83.35,83.52,0.98,1.53,5.97,4.43,70,66.6,25.5,0.01223,0.00311,0.00676,0.0005,0.13854,0.14183,0.04891,-2.25,-14.9,-19,13,0.0964,0.01223,0.00311,0.13854,0.04891
F0,eq_08Perc_HiF0_8_2_con,1.562,132.3,133.9,10.7,102.5,147.9,45.4,84.52,84.78,1.44,0.43,6.76,6.34,70,67.9,25.8,0.01665,0.0048,0.00889,0.0006,0.14824,0.15515,0.04674,-0.54,-17.3,-14.4,12.9,0.1479,0.01665,0.0048,0.14824,0.04674
F0,eq_08Perc_HiF0_8_4_con,1.876,129.8,132.6,7.8,110.6,142.8,32.2,84.22,84.61,1.06,1.74,6.15,4.41,70,66.3,40.1,0.01235,0.0037,0.00771,0.0005,0.10893,0.08214,0.03607,-3.76,-17.3,-17.5,14.7,0.1301,0.01235,0.0037,0.10893,0.03607
F0,eq_08Perc_HiF0_8_5_con,1.95,127.7,126.3,14.4,103,154.5,51.5,83.85,83.77,1.95,0.51,7.53,7.02,70,68.3,22.7,0.01381,0.00322,0.00714,0.0009,0.13462,0.20175,0.04148,0.39,-16.5,-18.1,13.4,0.0973,0.01381,0.00322,0.13462,0.04148
F0,eq_08Perc_HiF0_8_6_con,1.671,129.4,126.4,11.6,109.5,148.5,39,84.12,83.78,1.55,1.57,6.85,5.28,70,66.4,21.6,0.01476,0.00432,0.00901,0.0007,0.14071,0.22627,0.05542,-2.86,-15.7,-22.2,13,0.163,0.01476,0.00432,0.14172,0.05647
F0,eq_08Perc_HiF0_8_7_con,1.652,135,132.1,15.6,110.9,175.6,64.6,84.81,84.55,1.92,1.8,9.73,7.94,70,65.8,32.6,0.017,0.00574,0.01085,0.0009,0.09061,0.09686,0.03316,-1,-16.2,-18.4,12.6,0.1319,0.017,0.00574,0.09061,0.03316
F0,eq_08Perc_HiF0_8_9_con,1.538,139.5,131.4,23,112,189.7,77.6,85.28,84.45,2.68,1.96,11.08,9.11,70,68.3,27.4,0.01193,0.0035,0.00651,0.0011,0.11191,0.09836,0.0414,-2.57,-15.1,-22,14.3,0.1057,0.01193,0.0035,0.11191,0.0414
F0,eq_08Perc_LoF0_1_10_con,1.923,91.6,90.9,9.8,75.4,111.5,36.1,78.11,78.08,1.88,-4.88,1.89,6.77,70,67.7,24.8,0.0253,0.00713,0.01525,0.0014,0.1613,0.14273,0.06697,-0.92,-19.2,-24.9,12.4,0.1838,0.0253,0.00713,0.1613,0.06697
F0,eq_08Perc_LoF0_1_1_con,1.797,94.3,95.3,9.2,77.5,105.4,28,78.63,78.9,1.73,-4.42,0.92,5.34,70,69.7,20.3,0.01832,0.00348,0.00708,0.0011,0.11014,0.13948,0.03959,-3.57,-19.5,-23.3,13.7,0.1354,0.01832,0.00348,0.11014,0.03959
F0,eq_08Perc_LoF0_1_2_con,1.829,96.2,95.6,9.1,76.2,109.7,33.5,78.98,78.94,1.68,-4.71,1.6,6.3,70,68.7,22.8,0.02275,0.00734,0.0148,0.0029,0.14246,0.24895,0.06987,0.06,-18.6,-16.8,11.2,0.1938,0.02301,0.00743,0.14246,0.06987
F0,eq_08Perc_LoF0_1_4_con,1.636,90.2,91.6,7.6,77.2,103,25.8,77.88,78.21,1.47,-4.48,0.49,4.97,70,69.5,27,0.01615,0.00426,0.00939,0.001,0.12674,0.20237,0.03967,-3.02,-16.8,-16.4,14.5,0.0811,0.01615,0.00426,0.12674,0.03967
F0,eq_08Perc_LoF0_1_5_con,2.786,88.5,87,8.7,75.4,113.6,38.2,77.53,77.31,1.66,-4.89,2.21,7.1,70,69.1,19.8,0.01958,0.00768,0.01479,0.0012,0.13164,0.13317,0.05091,-2.12,-15.7,-15.4,12.2,0.1612,0.01958,0.00768,0.13164,0.05091
F0,eq_08Perc_LoF0_1_6_con,2.007,91.8,94.1,8.6,76.5,104.4,27.9,78.16,78.67,1.67,-4.65,0.74,5.39,70,67.6,25,0.02412,0.00831,0.01376,0.0011,0.13016,0.12889,0.04491,-2.3,-19.8,-25.6,13.5,0.1365,0.02412,0.00831,0.13016,0.04491
F0,eq_08Perc_LoF0_1_7_con,1.856,90,91.8,10.9,75.5,114.7,39.2,77.79,78.24,2.08,-4.86,2.33,7.19,70,68.5,24.4,0.03298,0.01497,0.02027,0.0013,0.13407,0.13343,0.04227,-3.18,-14.4,-22.2,12.8,0.1509,0.03298,0.01497,0.13407,0.04227
F0,eq_08Perc_LoF0_1_9_con,1.965,96.4,92.8,15.5,76.4,127.2,50.8,78.88,78.44,2.7,-4.66,4.16,8.82,70,69.5,14.1,0.01918,0.00501,0.00893,0.0016,0.13079,0.10511,0.04741,0.11,-16.8,-20.7,12.7,0.1618,0.01918,0.00501,0.13079,0.04741
F0,eq_08Perc_LoF0_2_10_con,2.119,177.7,171.5,22,142,217.8,75.7,89.55,89.06,2.13,6.07,13.47,7.4,70,68.1,17.5,0.00724,0.00163,0.00303,0.0007,0.09124,0.07678,0.03979,3.09,-13.6,-14.8,13.4,0.1168,0.00724,0.00163,0.09124,0.03979
F0,eq_08Perc_LoF0_2_1_con,2.24,204.3,213.3,31.6,143.7,248,104.3,91.88,92.84,2.79,6.31,15.72,9.41,70,69.3,21,0.00923,0.00194,0.00386,0.0008,0.10522,0.10566,0.04063,4.16,-17.6,-14.2,14.7,0.0934,0.00923,0.00194,0.10522,0.04063
F0,eq_08Perc_LoF0_2_2_con,1.86,181.4,179.5,28.4,145.3,231,85.6,89.82,89.85,2.68,6.52,14.49,7.97,70,67.5,24.5,0.00737,0.00193,0.00382,0.0008,0.11567,0.10774,0.03785,-1.25,-18.1,-10.5,13.6,0.1515,0.00737,0.00193,0.11556,0.03818
F0,eq_08Perc_LoF0_2_4_con,2.091,182.8,184.9,18.6,153.9,219.5,65.6,90.08,90.36,1.77,7.47,13.61,6.14,70,67.4,26,0.00773,0.00212,0.00408,0.0006,0.11126,0.10728,0.03916,1.88,-14.6,-13.1,14.3,0.1218,0.00773,0.00212,0.11126,0.03916
F0,eq_08Perc_LoF0_2_5_con,2.54,176.1,170.5,17,152.1,216.3,64.3,89.45,88.97,1.64,7.25,13.36,6.11,70,69.1,16.8,0.01059,0.00271,0.00557,0.0009,0.13544,0.10315,0.0599,3.82,-14,-13.9,13.1,0.1297,0.01059,0.00271,0.13544,0.0599
F0,eq_08Perc_LoF0_2_6_con,2.419,184.8,176.1,27.9,150.5,244.6,94.1,90.17,89.52,2.51,7.08,15.48,8.41,70,68.6,15.9,0.00797,0.00173,0.0036,0.001,0.11326,0.09744,0.04456,6.36,-15.6,-14.7,14.4,0.125,0.00797,0.00173,0.11326,0.04456
F0,eq_08Perc_LoF0_2_7_con,2.135,170.7,165.1,20.4,146.7,214.8,68.2,88.87,88.4,1.99,6.63,13.24,6.6,70,68,16.7,0.00908,0.00232,0.00506,0.0007,0.14262,0.13834,0.06307,4.73,-16.8,-14.9,13.2,0.1504,0.00908,0.00232,0.14262,0.06307
F0,eq_08Perc_LoF0_2_9_con,1.918,180.7,172.5,40.2,134.9,266.9,132,89.59,89.16,3.52,5.19,17,11.81,70,69,19.1,0.0109,0.00229,0.00498,0.0014,0.11962,0.10536,0.05067,3.38,-17.8,-21.4,13.2,0.1359,0.0109,0.00229,0.11962,0.05067
F0,eq_08Perc_LoF0_3_10_con,1.617,93.2,91.8,10.6,75.5,113.8,38.3,78.4,78.25,1.94,-4.86,2.24,7.09,70,66.3,21.4,0.02249,0.0065,0.01275,0.0012,0.14072,0.11003,0.0454,1.42,-13.2,-22.3,12,0.1453,0.02249,0.0065,0.14072,0.0454
F0,eq_08Perc_LoF0_3_1_con,1.544,97.1,101,11.8,76.5,114.6,38.1,79.09,79.89,2.16,-4.65,2.35,6.99,70,68.3,31.3,0.02373,0.00646,0.01191,0.0013,0.12981,0.17588,0.03736,-0.95,-16.3,-18.3,12.2,0.1651,0.02373,0.00646,0.12981,0.03736
F0,eq_08Perc_LoF0_3_2_con,1.772,90.1,87.7,12.5,75.6,120,44.4,77.76,77.46,2.28,-4.84,3.16,7.99,70,67.8,24.8,0.01691,0.00378,0.00874,0.0015,0.11754,0.09579,0.05183,0.08,-16.1,-13.6,14.2,0.0943,0.01691,0.00378,0.11754,0.05183
F0,eq_08Perc_LoF0_3_4_con,1.734,96.9,97.1,10.8,78.1,120.8,42.7,79.07,79.22,1.92,-4.28,3.24,7.52,70,67.8,29.7,0.0206,0.00612,0.01126,0.0011,0.12909,0.09829,0.05858,1.43,-12.4,-15.5,13.3,0.1381,0.0206,0.00612,0.12909,0.05858
F0,eq_08Perc_LoF0_3_5_con,2.287,88.4,87.7,7.1,75.5,106.9,31.3,77.53,77.45,1.38,-4.86,1.15,6.01,70,67.9,22,0.02313,0.00758,0.01479,0.0009,0.14874,0.09215,0.06973,0.25,-14.6,-14.5,12,0.148,0.02313,0.00758,0.14874,0.06973
F0,eq_08Perc_LoF0_3_6_con,1.949,97.7,97.2,10.9,75.9,113.5,37.6,79.22,79.23,1.97,-4.77,2.19,6.96,70,67.4,23.1,0.01865,0.00462,0.00891,0.0011,0.13993,0.16026,0.04858,5.92,-15.1,-18.9,13.5,0.1023,0.01865,0.00462,0.13993,0.04858
