experiment, filename , dur , f0mnhz , f0mdhz , f0sdhz , f0mihz , f0mahz , f0rghz , f0mnvst , f0mdvst , f0sdvst , f0mivst , f0mavst , f0rgvst, inmn , inmd , inrange , jitloc , jitrap , jitppq5 , periodsd , shimloc , shimapq11 , shimapq3 , h1mh2mn , slopen0114 , slopen5228 , mnHNR , mnNHR, jitlocvr , jitrapvr , shimlocvr , shimapq3vr 
F0-Intensity,M_3_2_con_Mid_Quie,1.772,104.1,102.8,15.5,79.1,141.4,62.3,80.25,80.2,2.46,-4.06,6,10.06,61,58.4,26.5,0.01419,0.00315,0.00637,0.0013,0.11643,0.08731,0.05099,-1.24,-15.5,-14.8,14.7,0.0847,0.01419,0.00315,0.11643,0.05099
F0-Intensity,M_3_3_con_High_Loud,3.048,118.9,116.4,13.3,91.5,147.1,55.6,82.62,82.36,1.91,-1.53,6.68,8.22,68,65.6,28.3,0.01242,0.00278,0.00594,0.0009,0.11958,0.11302,0.05148,1.7,-14.7,-17.4,15.5,0.0809,0.01242,0.00278,0.11958,0.05148
F0-Intensity,M_3_3_con_High_Neut,3.048,118.9,116.4,13.3,91.5,147.1,55.6,82.62,82.36,1.91,-1.53,6.68,8.22,64,61.6,28.3,0.01242,0.00278,0.00594,0.0009,0.11957,0.11301,0.05147,1.7,-14.7,-17.4,15.5,0.0809,0.01242,0.00278,0.11957,0.05147
F0-Intensity,M_3_3_con_High_Quie,3.048,118.9,116.4,13.3,91.5,147.1,55.6,82.62,82.36,1.91,-1.53,6.68,8.22,61,58.6,28.3,0.0124,0.00277,0.00593,0.0009,0.11952,0.11288,0.05145,1.69,-14.7,-17.4,15.5,0.0809,0.0124,0.00277,0.11952,0.05145
F0-Intensity,M_3_3_con_Low_Loud,3.048,87.9,84.6,8.6,75.8,105.9,30.1,77.4,76.83,1.67,-4.78,0.98,5.76,68,65.7,26.4,0.01084,0.00198,0.00422,0.0011,0.08061,0.08945,0.02491,1.77,-14.6,-18.4,15,0.079,0.01084,0.00198,0.08061,0.02491
F0-Intensity,M_3_3_con_Low_Neut,3.048,87.9,84.6,8.6,75.7,105.9,30.2,77.4,76.82,1.67,-4.81,0.98,5.79,64,61.7,26.4,0.01085,0.00199,0.00423,0.0011,0.08069,0.08953,0.02491,1.76,-14.6,-18.4,15,0.079,0.01085,0.00199,0.08069,0.02491
F0-Intensity,M_3_3_con_Low_Quie,3.048,87.9,84.6,8.6,75.8,105.9,30.1,77.4,76.83,1.67,-4.78,0.98,5.76,61,58.7,26.4,0.01082,0.00198,0.00422,0.0011,0.0813,0.09428,0.02464,1.78,-14.6,-18.4,15,0.079,0.01082,0.00198,0.0813,0.02464
F0-Intensity,M_3_3_con_Mid_Loud,3.048,102.1,99.9,11.5,78.2,127,48.8,79.98,79.72,1.94,-4.25,4.14,8.39,68,65.6,26.4,0.0143,0.00377,0.00655,0.0011,0.11467,0.11663,0.03983,1.46,-14.8,-17.3,14.9,0.0813,0.0143,0.00377,0.11467,0.03983
F0-Intensity,M_3_3_con_Mid_Neut,3.048,102.1,99.9,11.5,78.2,127,48.8,79.98,79.71,1.93,-4.25,4.14,8.39,64,61.6,26.4,0.0143,0.00377,0.00654,0.0011,0.11485,0.11681,0.03999,1.47,-14.8,-17.3,14.9,0.081,0.0143,0.00377,0.11485,0.03999
F0-Intensity,M_3_3_con_Mid_Quie,3.048,102.1,99.9,11.5,78.2,127,48.8,79.98,79.72,1.94,-4.25,4.14,8.39,61,58.6,26.4,0.01428,0.00376,0.00654,0.0011,0.11467,0.11664,0.03983,1.46,-14.8,-17.3,14.9,0.0812,0.01428,0.00376,0.11467,0.03983
F0-Intensity,M_3_4_con_High_Loud,1.734,122.3,122.5,13.6,97.7,149.3,51.6,83.11,83.24,1.91,-0.4,6.94,7.34,68,65.8,29.7,0.01046,0.00245,0.00476,0.0009,0.08631,0.06487,0.03296,3.19,-12.6,-15.3,14.4,0.0852,0.01046,0.00245,0.08631,0.03296
F0-Intensity,M_3_4_con_High_Neut,1.734,122.3,122.5,13.6,97.7,149.3,51.6,83.11,83.24,1.91,-0.4,6.94,7.34,64,61.8,29.7,0.01046,0.00245,0.00477,0.0009,0.08631,0.0646,0.03303,3.18,-12.6,-15.3,14.4,0.0851,0.01046,0.00245,0.08631,0.03303
F0-Intensity,M_3_4_con_High_Quie,1.734,122.3,122.5,13.6,97.7,149.3,51.6,83.11,83.24,1.91,-0.4,6.94,7.34,61,58.8,29.7,0.01048,0.00247,0.00479,0.0009,0.08644,0.06498,0.03294,3.19,-12.6,-15.3,14.4,0.0853,0.01048,0.00247,0.08644,0.03294
F0-Intensity,M_3_4_con_Low_Loud,1.734,88.8,88.5,9.3,76.3,107.5,31.2,77.57,77.61,1.81,-4.67,1.26,5.93,68,65.6,28.8,0.01983,0.00758,0.01264,0.0012,0.11813,0.09284,0.03351,-1.45,-12.3,-16.2,13.4,0.1217,0.01983,0.00758,0.11813,0.03351
F0-Intensity,M_3_4_con_Low_Neut,1.734,88.8,88.5,9.3,76.3,107.5,31.2,77.58,77.61,1.81,-4.67,1.26,5.93,64,61.6,28.8,0.01983,0.00758,0.01264,0.0012,0.11813,0.09282,0.03351,-1.45,-12.3,-16.2,13.4,0.1217,0.01983,0.00758,0.11813,0.03351
F0-Intensity,M_3_4_con_Low_Quie,1.734,88.8,88.5,9.3,76.3,107.5,31.2,77.57,77.61,1.81,-4.67,1.26,5.93,61,58.6,28.8,0.01983,0.00758,0.01264,0.0012,0.11814,0.09284,0.03351,-1.45,-12.3,-16.2,13.4,0.1217,0.01983,0.00758,0.11814,0.03351
F0-Intensity,M_3_4_con_Mid_Loud,1.734,105.5,105.6,11.4,84.8,128.4,43.6,80.55,80.68,1.87,-2.86,4.33,7.18,68,65.5,30.5,0.01169,0.00255,0.00537,0.001,0.12126,0.1231,0.04866,2.09,-12.7,-15.9,13.4,0.1036,0.01169,0.00255,0.12126,0.04866
F0-Intensity,M_3_4_con_Mid_Neut,1.734,105.5,105.6,11.4,84.8,128.4,43.6,80.55,80.68,1.87,-2.86,4.33,7.18,64,61.5,30.5,0.01169,0.00255,0.00537,0.001,0.12126,0.12312,0.04866,2.09,-12.7,-15.9,13.4,0.1036,0.01169,0.00255,0.12126,0.04866
F0-Intensity,M_3_4_con_Mid_Quie,1.734,105.5,105.6,11.4,84.8,128.4,43.6,80.55,80.68,1.87,-2.86,4.33,7.18,61,58.5,30.5,0.01169,0.00255,0.00537,0.001,0.12126,0.12309,0.04866,2.09,-12.7,-15.9,13.4,0.1036,0.01169,0.00255,0.12126,0.04866
F0-Intensity,M_3_5_con_High_Loud,2.287,120.1,121,13.8,80.8,150.2,69.4,82.78,83.03,2.06,-3.63,7.04,10.67,68,65.7,23.3,0.01344,0.00275,0.00562,0.001,0.13026,0.16427,0.05714,3.08,-14.8,-14.1,13.8,0.0887,0.01344,0.00275,0.13026,0.05714
F0-Intensity,M_3_5_con_High_Neut,2.287,120.1,121,13.8,80.8,150.2,69.4,82.78,83.03,2.06,-3.63,7.04,10.67,64,61.7,23.3,0.01343,0.00275,0.00561,0.001,0.13042,0.16454,0.05732,3.15,-14.8,-14.1,13.8,0.0885,0.01343,0.00275,0.13042,0.05732
F0-Intensity,M_3_5_con_High_Quie,2.287,120.1,121,13.8,80.8,150.2,69.4,82.78,83.03,2.06,-3.63,7.04,10.67,61,58.7,23.3,0.01344,0.00275,0.00562,0.001,0.13025,0.16426,0.05714,3.08,-14.8,-14.1,13.8,0.0887,0.01344,0.00275,0.13025,0.05714
F0-Intensity,M_3_5_con_Low_Loud,2.287,89.4,88.6,7.2,76.2,108.2,32,77.72,77.62,1.38,-4.71,1.36,6.07,68,65.7,21.7,0.01722,0.00492,0.00931,0.0009,0.14385,0.15368,0.05266,-0.7,-14.8,-14.4,12.3,0.1425,0.01722,0.00492,0.14385,0.05266
F0-Intensity,M_3_5_con_Low_Neut,2.287,89.4,88.6,7.2,76.2,108.2,32,77.72,77.62,1.38,-4.71,1.36,6.07,64,61.7,21.7,0.01722,0.00492,0.00931,0.0009,0.14384,0.15367,0.05266,-0.7,-14.8,-14.4,12.3,0.1425,0.01722,0.00492,0.14384,0.05266
F0-Intensity,M_3_5_con_Low_Quie,2.287,89.4,88.6,7.2,76.2,108.2,32,77.72,77.62,1.38,-4.71,1.36,6.07,61,58.7,21.7,0.01722,0.00492,0.00931,0.0009,0.14385,0.15368,0.05266,-0.7,-14.8,-14.4,12.3,0.1425,0.01722,0.00492,0.14385,0.05266
F0-Intensity,M_3_5_con_Mid_Loud,2.287,104.2,104.4,10.8,76.3,129.1,52.8,80.34,80.47,1.83,-4.68,4.42,9.1,68,65.8,23.2,0.01512,0.00363,0.00737,0.001,0.12954,0.15251,0.04957,-0.82,-14.4,-14.3,13.3,0.0999,0.01512,0.00363,0.12954,0.04957
